,"ADANIPORTS.NS
",ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BHARTIARTL.NS,INFRATEL.NS,BPCL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,GAIL.NS,GRASIM.NS,HCLTECH.NS,HDFC.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,BRITANNIA.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TATAMOTORS.NS,TATASTEEL.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,VEDL.NS,WIPRO.NS,YESBANK.NS,ZEEL.NS
COALINDIA.NS,0.5218369955427756,0.3435829488590727,0.5216952799110511,-0.4511322040233202,0.11974322160894828,0.17930735484919194,0.3161934790364649,0.6644885230768648,0.3910658064930588,0.7087961382194934,1.0,0.5850706832362832,0.5574818517440198,0.3327845319668597,0.40819905826152536,0.47951821794909977,0.3326731013709726,0.27210804774826075,0.540155598915296,0.16090969528929347,0.24065491380542497,0.33507400565809925,0.3678976540139351,0.4325292356923335,0.3533617237477721,0.34960902333344895,0.40592701514411883,0.3062392932479151,0.30288267150476644,0.4830009337880447,0.6148340204829572,0.4154323793895396,0.16543311215238043,0.22661501018158206,0.49273639802759295,0.40754670263059073,0.09253143792705808,0.5742320350182153,0.6497515067729914,0.3082098947072573,0.5597822876125855,0.1524357289235243,0.4584225097327317,0.1697207157361213,0.48843827950120683,0.4045158550134448,0.1583589413103247,0.39098591786614384,0.5353854889365399,0.5644893878141654
DRREDDY.NS,0.7193214838281832,0.8335455916656822,0.9036145941639784,-0.6134764949135052,0.5474209552503385,0.46056264692667287,0.5586830744253779,0.5355777304311421,0.7830977402039324,0.9458196700328618,0.5850706832362832,1.0,0.7954568625030066,0.7939709785300634,0.7609958833528921,0.8872278863741073,0.830371793675028,0.7904279596189404,0.8791470444595091,0.5844278289247159,0.7627135924738284,0.724143421182085,0.8517379839797309,0.7768944576933429,0.8730572236047933,0.7398807965141337,0.9223975856402303,0.6421873088227312,0.7841499346058438,0.8297929071535696,0.9218518235483008,0.7021947331653031,0.7162129945913722,0.3814520492552636,0.8648053305558296,0.6109912305043157,0.6743812924496854,0.9246246053988171,0.9648612567821148,0.8154987701763813,0.8996064828310095,0.5053717020056601,0.7691747237354696,0.7277069916948277,0.8404807498237349,0.7478387079313705,0.6324134412602753,0.9199187136159149,0.637818928235568,0.8521887570757062
EICHERMOT.NS,0.9236462923871653,0.9311241883195437,0.9066426592257675,0.6433021242298221,0.7872126425705636,0.8118900818556518,0.4819124586649611,0.7923870869845197,0.9675342034627936,0.8435580335153995,0.5574818517440198,0.7954568625030066,1.0,0.8715351997879507,0.9428524298207885,0.9329774275895285,0.9082463891157707,0.9148780005620479,0.9166189404153146,0.6461742451784722,0.8879163319632619,0.9261446046012556,0.8642486117029106,0.9728204548963472,0.899019304355512,0.9500269486598658,0.8755727802536609,0.9004066098625574,0.9084455311374414,0.8414622417797828,0.8980249949709656,0.9655532120147884,0.772047157430525,0.4656665211402015,0.6538163114012838,0.9307585103303512,0.7591110255318065,0.879819961150665,0.7742871502250979,0.8644556144819231,0.7197113999156552,0.5367664796225016,0.818135338358967,0.8436759564598248,0.9502560735505245,0.9407920621714144,0.5675603152493207,0.8442116539109132,0.9353013003577832,0.9568681781292696
GAIL.NS,0.8951226904586551,0.9148197482214719,0.9289338567518667,0.7250665888649216,0.8079471806465991,0.8920530441571379,0.6461436664397328,0.38701712401839,0.8890524775719925,0.8817070463318709,0.3327845319668597,0.7939709785300634,0.8715351997879507,1.0,0.9456290049113827,0.9065112833729103,0.9558602509157447,0.9406530241611872,0.9366092276831468,0.8215184937892317,0.9076331822628712,0.8953774457541274,0.9165053238619623,0.936402762800065,0.9239699387621313,0.9351067326086264,0.9363601597463291,0.9426611760303466,0.9266721322949396,0.9513060683751363,0.9391828788464748,0.9266104717613105,0.8628740775730077,0.6725265364838885,0.8371298034392867,0.9010417718840854,0.9058150242712645,0.9394243417532756,0.7282444066056761,0.9137376743304999,0.6871527858804283,0.744358620094453,0.8058812720049805,0.9122153251321122,0.9142394216852178,0.8936926658487935,0.8021417472744514,0.9290973212586578,0.8393029213927765,0.8947002382534902
GRASIM.NS,0.9155336921570897,0.9224632666792729,0.9075980833055588,0.7602413833297402,0.7975232540336488,0.8585946965732139,0.6457533155368748,0.5697068187424721,0.9402387418202196,0.8692797036158341,0.40819905826152536,0.7609958833528921,0.9428524298207885,0.9456290049113827,1.0,0.9121749473787483,0.9464124943786217,0.9345578050527454,0.9426524774792291,0.7737772595597451,0.8948521356998257,0.9035928081044312,0.896365554008632,0.966791024444881,0.8956048471117238,0.9629777535874612,0.920062328564023,0.9361159286109181,0.9239166275178942,0.9156815477963623,0.9279647711920043,0.9660076641620072,0.8153775497153436,0.6114211991219602,0.7453485160295141,0.9469165292898061,0.8462765206762669,0.9107687591517271,0.7198488379673798,0.8747479396398434,0.6969110126750481,0.6834492113841866,0.7881812172937002,0.8782841895080028,0.9556609799883243,0.9254566409180776,0.6814221874274922,0.8912835904811989,0.9265974854664879,0.9512895525465065
HCLTECH.NS,0.9371987755781611,0.9764717925966163,0.9734221278725811,0.5783904382154184,0.8313742113496374,0.8502163797215008,0.537326603576168,0.6164616718969922,0.9298679108347552,0.9031602684546052,0.47951821794909977,0.8872278863741073,0.9329774275895285,0.9065112833729103,0.9121749473787483,1.0,0.9649717452210479,0.9539304284293154,0.919612891312571,0.6247456102003449,0.9447653573467768,0.9311006943110425,0.9611210787067622,0.9513000297142334,0.9757012187319144,0.9007536116443742,0.9426839508536646,0.892355552738012,0.9560451188092776,0.9138083347712997,0.9374458147589099,0.9230130743945724,0.9077246065247405,0.45461728057286255,0.7383836812133333,0.898876306217265,0.8238960066327726,0.9453140301671609,0.8366805873070386,0.9713137862175453,0.7249555743235342,0.48616730711325423,0.9406738225942234,0.9098646166797201,0.9681045987072809,0.9373529014869,0.5518399369993081,0.949620883777238,0.7988237728089197,0.9265276997134063
HDFC.NS,0.9436883088313983,0.9813896091915877,0.9760549651605678,0.7618726167743124,0.8841160749428315,0.9516439330635897,0.6301278900840829,0.4711258311684355,0.9384998350004718,0.8811972791496439,0.3326731013709726,0.830371793675028,0.9082463891157707,0.9558602509157447,0.9464124943786217,0.9649717452210479,1.0,0.9872081570450498,0.9282940063954112,0.7277200079296245,0.9690556402555385,0.9475836497259844,0.9768905577163721,0.9615781153289027,0.9744156157539493,0.9363551878853581,0.9458138554661947,0.9347889169325246,0.9858139878130765,0.9586795219765373,0.9328414745389345,0.9431248944112692,0.9558475228048635,0.5875764253761019,0.7654744432310789,0.945357242379499,0.9146094362292928,0.955032633158882,0.7487460423623753,0.9724072149001484,0.6589499536633884,0.6123059064042993,0.8884391232189567,0.9570266578920622,0.9665726121575653,0.9495540618862054,0.6549742848718207,0.9481752147749799,0.7977620392418963,0.9060530820922025
HDFCBANK.NS,0.9217057563155863,0.9841974127763237,0.9573767458120066,0.7900898764876019,0.9378083371054065,0.9763866676414529,0.5459897565096798,0.4068236982960923,0.952054554095641,0.8323796116083434,0.27210804774826075,0.7904279596189404,0.9148780005620479,0.9406530241611872,0.9345578050527454,0.9539304284293154,0.9872081570450498,1.0,0.8895765645362897,0.7286300745254878,0.9888995050147158,0.9762932603967028,0.9600731152641453,0.9683251968932359,0.9714501331743972,0.9506597392988116,0.9159498105087974,0.9568712371076269,0.9947100587839361,0.9193449985196743,0.9011538511705364,0.9558023550607875,0.951741577771602,0.5393930845251996,0.7111116115244914,0.9443691183746074,0.9245539779301332,0.9200093459041726,0.709181328176753,0.9704826456712712,0.6210535099341571,0.6206131135223756,0.8804299623568456,0.981212464550228,0.9517786705450978,0.9603935815973309,0.6360954953660501,0.9142398274315386,0.7846322218937924,0.8778369140278034
HEROMOTOCO.NS,0.8852245445299497,0.9127682322172255,0.9218695551751386,0.6296158890400925,0.6969039984146063,0.7492487145847105,0.6326823060208425,0.7101209658086372,0.9065696397884397,0.9350420441501373,0.540155598915296,0.8791470444595091,0.9166189404153146,0.9366092276831468,0.9426524774792291,0.919612891312571,0.9282940063954112,0.8895765645362897,1.0,0.7060875664165235,0.8475686362791065,0.8388516386842412,0.8911330426054727,0.9277036258550609,0.8997926974221995,0.9101616599608162,0.9595891431331768,0.8552727178848164,0.8795914144698109,0.9149489546440773,0.970885716149077,0.9007946186467851,0.794825718680011,0.5799399446773842,0.8527676255797491,0.8810500840345918,0.7632434785737436,0.9512621394946791,0.8433582350962879,0.8708807608337982,0.8272313257070393,0.6053832935292064,0.7701293519578429,0.8224206703690854,0.9429121702883951,0.8762769991489264,0.741020704257024,0.9274263275735442,0.8915538114410732,0.9539590056366314
HINDALCO.NS,0.6833385092182204,0.6430070059141154,0.7201019752109135,0.7736706918861905,0.6208402048888982,0.6805749440556065,0.6834674565106504,0.3013833645528793,0.6906183051096741,0.7307989590392048,0.16090969528929347,0.5844278289247159,0.6461742451784722,0.8215184937892317,0.7737772595597451,0.6247456102003449,0.7277200079296245,0.7286300745254878,0.7060875664165235,1.0,0.671893362604649,0.6621486889381458,0.7075522604909351,0.6928775863202822,0.6945826923637687,0.7629267542354758,0.730431531287664,0.7573074828436605,0.7091937460723758,0.7848676368619221,0.7451501789999067,0.7196154114450749,0.6807689611966722,0.5906381538429836,0.7522094638737632,0.683101076221284,0.815686400899568,0.7541503099487045,0.5096667973604727,0.5947395920540379,0.5781868594835523,0.9435847020832097,0.5023384910520028,0.703077274657574,0.6189808025043866,0.6920725096540984,0.8113937797828996,0.7696645521310645,0.6109461970703265,0.6603523853191123
